n,phase,R_ohm,L_H,wire_length_m,I_abs_A,R_m,f0_hz
1,1,0.3545085189841123,5.0756604153597845e-06,3.389654986283256,4.216234662111472,0.03,100000.0
1,2,0.35450851898411234,5.0756604153597845e-06,3.3896549862832566,4.216234662111472,0.03,100000.0
1,3,0.3545085189841123,5.0756604153597845e-06,3.389654986283256,4.216234662111473,0.03,100000.0
2,1,0.4653442672933956,5.0756604153597845e-06,3.389654986283256,0.7260499985109067,0.03,100000.0
2,2,0.4653442672933957,5.0756604153597845e-06,3.3896549862832566,0.7260499985109067,0.03,100000.0
2,3,0.4653442672933956,5.0756604153597845e-06,3.389654986283256,0.7260499985109067,0.03,100000.0
1,1,0.3867126166362263,5.0756604153597845e-06,3.389654986283256,3.307159315833609,0.03,125939.69317272713
1,2,0.38671261663622636,5.0756604153597845e-06,3.3896549862832566,3.307159315833609,0.03,125939.69317272713
1,3,0.3867126166362263,5.0756604153597845e-06,3.389654986283256,3.307159315833609,0.03,125939.69317272713
2,1,0.5125434831453651,5.0756604153597845e-06,3.389654986283256,0.5602389374906188,0.03,125939.69317272713
2,2,0.5125434831453652,5.0756604153597845e-06,3.3896549862832566,0.5602389374906189,0.03,125939.69317272713
2,3,0.5125434831453651,5.0756604153597845e-06,3.389654986283256,0.5602389374906189,0.03,125939.69317272713
1,1,0.42342717769000143,5.0756604153597845e-06,3.389654986283256,2.583108312686206,0.03,158608.06316440654
1,2,0.4234271776900015,5.0756604153597845e-06,3.3896549862832566,2.5831083126862064,0.03,158608.06316440654
1,3,0.42342717769000143,5.0756604153597845e-06,3.389654986283256,2.5831083126862064,0.03,158608.06316440654
2,1,0.5658455359664871,5.0756604153597845e-06,3.389654986283256,0.42842182618761565,0.03,158608.06316440654
2,2,0.5658455359664871,5.0756604153597845e-06,3.3896549862832566,0.42842182618761565,0.03,158608.06316440654
2,3,0.5658455359664871,5.0756604153597845e-06,3.389654986283256,0.42842182618761565,0.03,158608.06316440654
1,1,0.4651042740168597,5.0756604153597845e-06,3.389654986283256,2.006912018485334,0.03,199750.50809645883
1,2,0.4651042740168598,5.0756604153597845e-06,3.3896549862832566,2.006912018485334,0.03,199750.50809645883
1,3,0.4651042740168597,5.0756604153597845e-06,3.389654986283256,2.0069120184853344,0.03,199750.50809645883
2,1,0.6259456642899854,5.0756604153597845e-06,3.389654986283256,0.32366132058487285,0.03,199750.50809645883
2,2,0.6259456642899854,5.0756604153597845e-06,3.3896549862832566,0.32366132058487285,0.03,199750.50809645883
2,3,0.6259456642899854,5.0756604153597845e-06,3.389654986283256,0.3236613205848729,0.03,199750.50809645883
1,1,0.5122721914725283,5.0756604153597845e-06,3.389654986283256,1.548650349479115,0.03,251565.1770076437
1,2,0.5122721914725283,5.0756604153597845e-06,3.3896549862832566,1.548650349479115,0.03,251565.1770076437
1,3,0.5122721914725283,5.0756604153597845e-06,3.389654986283256,1.548650349479115,0.03,251565.1770076437
2,1,0.6936332492531719,5.0756604153597845e-06,3.389654986283256,0.24042235127884437,0.03,251565.1770076437
2,2,0.693633249253172,5.0756604153597845e-06,3.3896549862832566,0.24042235127884437,0.03,251565.1770076437
2,3,0.6936332492531719,5.0756604153597845e-06,3.389654986283256,0.24042235127884437,0.03,251565.1770076437
1,1,0.5655394241985319,5.0756604153597845e-06,3.389654986283256,1.1843390313723046,0.03,316820.4120528544
1,2,0.5655394241985319,5.0756604153597845e-06,3.3896549862832566,1.1843390313723046,0.03,316820.4120528544
1,3,0.5655394241985319,5.0756604153597845e-06,3.389654986283256,1.1843390313723048,0.03,316820.4120528544
2,1,0.7698013381841812,5.0756604153597845e-06,3.389654986283256,0.17429447804404719,0.03,316820.4120528544
2,2,0.7698013381841813,5.0756604153597845e-06,3.3896549862832566,0.1742944780440472,0.03,316820.4120528544
2,3,0.7698013381841812,5.0756604153597845e-06,3.389654986283256,0.17429447804404719,0.03,316820.4120528544
1,1,0.6256007240974281,5.0756604153597845e-06,3.389654986283256,0.8948053656095164,0.03,399002.65484793467
1,2,0.6256007240974281,5.0756604153597845e-06,3.3896549862832566,0.8948053656095167,0.03,399002.65484793467
1,3,0.6256007240974281,5.0756604153597845e-06,3.389654986283256,0.8948053656095166,0.03,399002.65484793467
2,1,0.8554578342737065,5.0756604153597845e-06,3.389654986283256,0.12176664690142856,0.03,399002.65484793467
2,2,0.8554578342737065,5.0756604153597845e-06,3.3896549862832566,0.12176664690142859,0.03,399002.65484793467
2,3,0.8554578342737065,5.0756604153597845e-06,3.389654986283256,0.12176664690142856,0.03,399002.65484793467
1,1,0.6932449386457025,5.0756604153597845e-06,3.389654986283256,0.6647519824829056,0.03,502502.71926652436
1,2,0.6932449386457026,5.0756604153597845e-06,3.3896549862832566,0.6647519824829056,0.03,502502.71926652436
1,3,0.6932449386457025,5.0756604153597845e-06,3.389654986283256,0.6647519824829057,0.03,502502.71926652436
2,1,0.9517384119251933,5.0756604153597845e-06,3.389654986283256,0.08004564374712057,0.03,502502.71926652436
2,2,0.9517384119251934,5.0756604153597845e-06,3.3896549862832566,0.08004564374712057,0.03,502502.71926652436
2,3,0.9517384119251933,5.0756604153597845e-06,3.389654986283256,0.08004564374712056,0.03,502502.71926652436
1,1,0.769364525508718,5.0756604153597845e-06,3.389654986283256,0.4819895975191025,0.03,632850.3828288711
1,2,0.7693645255087181,5.0756604153597845e-06,3.3896549862832566,0.4819895975191026,0.03,632850.3828288711
1,3,0.769364525508718,5.0756604153597845e-06,3.389654986283256,0.4819895975191026,0.03,632850.3828288711
2,1,1.0599212703552483,5.0756604153597845e-06,3.389654986283256,0.04691040197884428,0.03,632850.3828288711
2,2,1.0599212703552483,5.0756604153597845e-06,3.3896549862832566,0.04691040197884428,0.03,632850.3828288711
2,3,1.0599212703552483,5.0756604153597845e-06,3.389654986283256,0.04691040197884428,0.03,632850.3828288711
1,1,0.8549667330885383,5.0756604153597845e-06,3.389654986283256,0.33681454973735026,0.03,797009.8303771093
1,2,0.8549667330885384,5.0756604153597845e-06,3.3896549862832566,0.3368145497373503,0.03,797009.8303771093
1,3,0.8549667330885383,5.0756604153597845e-06,3.389654986283256,0.33681454973735037,0.03,797009.8303771093
2,1,1.181443881720445,5.0756604153597845e-06,3.389654986283256,0.020595430244711634,0.03,797009.8303771093
2,2,1.181443881720445,5.0756604153597845e-06,3.3896549862832566,0.020595430244711638,0.03,797009.8303771093
2,3,1.181443881720445,5.0756604153597845e-06,3.389654986283256,0.020595430244711638,0.03,797009.8303771093
1,1,0.9511865062739319,5.0756604153597845e-06,3.389654986283256,0.2215070816235279,0.03,1003751.7349334045
1,2,0.951186506273932,5.0756604153597845e-06,3.3896549862832566,0.2215070816235279,0.03,1003751.7349334045
1,3,0.9511865062739319,5.0756604153597845e-06,3.389654986283256,0.2215070816235279,0.03,1003751.7349334045
2,1,1.3179219291695057,5.0756604153597845e-06,3.389654986283256,0.0,0.03,1003751.7349334045
2,2,1.317921929169506,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,1003751.7349334045
2,3,1.3179219291695057,5.0756604153597845e-06,3.389654986283256,0.0,0.03,1003751.7349334045
1,1,1.0593012297078486,5.0756604153597845e-06,3.389654986283256,0.12992869714502917,0.03,1264121.8551910524
1,2,1.0593012297078488,5.0756604153597845e-06,3.3896549862832566,0.12992869714502917,0.03,1264121.8551910524
1,3,1.0593012297078486,5.0756604153597845e-06,3.389654986283256,0.12992869714502917,0.03,1264121.8551910524
2,1,1.47117066773584,5.0756604153597845e-06,3.389654986283256,0.0,0.03,1264121.8551910524
2,2,1.4711706677358403,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,1264121.8551910524
2,3,1.47117066773584,5.0756604153597845e-06,3.389654986283256,0.0,0.03,1264121.8551910524
1,1,1.180747464627629,5.0756604153597845e-06,3.389654986283256,0.057199993147182125,0.03,1592031.1857570007
1,2,1.180747464627629,5.0756604153597845e-06,3.3896549862832566,0.05719999314718214,0.03,1592031.1857570007
1,3,1.180747464627629,5.0756604153597845e-06,3.389654986283256,0.05719999314718214,0.03,1592031.1857570007
2,1,1.6432289788926415,5.0756604153597845e-06,3.389654986283256,0.0,0.03,1592031.1857570007
2,2,1.6432289788926417,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,1592031.1857570007
2,3,1.6432289788926415,5.0756604153597845e-06,3.389654986283256,0.0,0.03,1592031.1857570007
1,1,1.3171398744716187,5.0756604153597845e-06,3.389654986283256,0.0,0.03,2004999.190556492
1,2,1.317139874471619,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,2004999.190556492
1,3,1.3171398744716187,5.0756604153597845e-06,3.389654986283256,0.0,0.03,2004999.190556492
2,1,1.8363864293295409,5.0756604153597845e-06,3.389654986283256,0.0,0.03,2004999.190556492
2,2,1.836386429329541,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,2004999.190556492
2,3,1.8363864293295409,5.0756604153597845e-06,3.389654986283256,0.0,0.03,2004999.190556492
1,1,1.4702925719646673,5.0756604153597845e-06,3.389654986283256,0.0,0.03,2525089.8287025085
1,2,1.4702925719646676,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,2525089.8287025085
1,3,1.4702925719646673,5.0756604153597845e-06,3.389654986283256,0.0,0.03,2525089.8287025085
2,1,2.053213687198989,5.0756604153597845e-06,3.389654986283256,0.0,0.03,2525089.8287025085
2,2,2.0532136871989892,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,2525089.8287025085
2,3,2.053213687198989,5.0756604153597845e-06,3.389654986283256,0.0,0.03,2525089.8287025085
1,1,1.6422431582955992,5.0756604153597845e-06,3.389654986283256,0.0,0.03,3180090.3826036807
1,2,1.6422431582955994,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,3180090.3826036807
1,3,1.6422431582955992,5.0756604153597845e-06,3.389654986283256,0.0,0.03,3180090.3826036807
2,1,2.2965966956730797,5.0756604153597845e-06,3.389654986283256,0.0,0.03,3180090.3826036807
2,2,2.29659669567308,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,3180090.3826036807
2,3,2.2965966956730797,5.0756604153597845e-06,3.389654986283256,0.0,0.03,3180090.3826036807
1,1,1.8352797647237078,5.0756604153597845e-06,3.389654986283256,0.0,0.03,4004996.0704664798
1,2,1.835279764723708,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,4004996.0704664798
1,3,1.8352797647237078,5.0756604153597845e-06,3.389654986283256,0.0,0.03,4004996.0704664798
2,1,2.569775055020155,5.0756604153597845e-06,3.389654986283256,0.0,0.03,4004996.0704664798
2,2,2.5697750550201555,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,4004996.0704664798
2,3,2.569775055020155,5.0756604153597845e-06,3.389654986283256,0.0,0.03,4004996.0704664798
1,1,2.0519714496215915,5.0756604153597845e-06,3.389654986283256,0.0,0.03,5043879.762725263
1,2,2.051971449621592,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,5043879.762725263
1,3,2.0519714496215915,5.0756604153597845e-06,3.389654986283256,0.0,0.03,5043879.762725263
2,1,2.8763851214061407,5.0756604153597845e-06,3.389654986283256,0.0,0.03,5043879.762725263
2,2,2.8763851214061407,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,5043879.762725263
2,3,2.8763851214061407,5.0756604153597845e-06,3.389654986283256,0.0,0.03,5043879.762725263
1,1,2.295202350530851,5.0756604153597845e-06,3.389654986283256,0.0,0.03,6352246.697177473
1,2,2.295202350530851,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,6352246.697177473
1,3,2.295202350530851,5.0756604153597845e-06,3.389654986283256,0.0,0.03,6352246.697177473
2,1,3.22050839412073,5.0756604153597845e-06,3.389654986283256,0.0,0.03,6352246.697177473
2,2,3.22050839412073,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,6352246.697177473
2,3,3.22050839412073,5.0756604153597845e-06,3.389654986283256,0.0,0.03,6352246.697177473
1,1,2.5682100421476055,5.0756604153597845e-06,3.389654986283256,0.0,0.03,8000000.0
1,2,2.568210042147606,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,8000000.0
1,3,2.5682100421476055,5.0756604153597845e-06,3.389654986283256,0.0,0.03,8000000.0
2,1,3.6067258338455157,5.0756604153597845e-06,3.389654986283256,0.0,0.03,8000000.0
2,2,3.606725833845516,5.0756604153597845e-06,3.3896549862832566,0.0,0.03,8000000.0
2,3,3.6067258338455157,5.0756604153597845e-06,3.389654986283256,0.0,0.03,8000000.0
1,1,0.42939452365630815,9.063957838720571e-06,5.64541926743297,2.3688377935426472,0.05,100000.0
1,2,0.42939452365630815,9.063957838720571e-06,5.64541926743297,2.3688377935426472,0.05,100000.0
1,3,0.42939452365630815,9.063957838720571e-06,5.64541926743297,2.3688377935426477,0.05,100000.0
2,1,0.5636430982342524,9.063957838720571e-06,5.64541926743297,0.40715791957095104,0.05,100000.0
2,2,0.5636430982342524,9.063957838720571e-06,5.64541926743297,0.4071579195709511,0.05,100000.0
2,3,0.5636430982342524,9.063957838720571e-06,5.64541926743297,0.4071579195709511,0.05,100000.0
1,1,0.4684013808419614,9.063957838720571e-06,5.64541926743297,1.8565619577150962,0.05,125939.69317272713
1,2,0.4684013808419614,9.063957838720571e-06,5.64541926743297,1.8565619577150965,0.05,125939.69317272713
1,3,0.4684013808419614,9.063957838720571e-06,5.64541926743297,1.8565619577150965,0.05,125939.69317272713
2,1,0.6208126265315852,9.063957838720571e-06,5.64541926743297,0.3140681566160549,0.05,125939.69317272713
2,2,0.6208126265315852,9.063957838720571e-06,5.64541926743297,0.31406815661605497,0.05,125939.69317272713
2,3,0.6208126265315852,9.063957838720571e-06,5.64541926743297,0.31406815661605497,0.05,125939.69317272713
1,1,0.5128714869486154,9.063957838720571e-06,5.64541926743297,1.4492213694493166,0.05,158608.06316440654
1,2,0.5128714869486154,9.063957838720571e-06,5.64541926743297,1.4492213694493166,0.05,158608.06316440654
1,3,0.5128714869486154,9.063957838720571e-06,5.64541926743297,1.4492213694493168,0.05,158608.06316440654
2,1,0.6853741486259379,9.063957838720571e-06,5.64541926743297,0.240111105266544,0.05,158608.06316440654
2,2,0.6853741486259379,9.063957838720571e-06,5.64541926743297,0.240111105266544,0.05,158608.06316440654
2,3,0.6853741486259379,9.063957838720571e-06,5.64541926743297,0.240111105266544,0.05,158608.06316440654
1,1,0.563352409031764,9.063957838720571e-06,5.64541926743297,1.1254484288917108,0.05,199750.50809645883
1,2,0.563352409031764,9.063957838720571e-06,5.64541926743297,1.125448428891711,0.05,199750.50809645883
1,3,0.563352409031764,9.063957838720571e-06,5.64541926743297,1.125448428891711,0.05,199750.50809645883
2,1,0.758169764503107,9.063957838720571e-06,5.64541926743297,0.18136270824113698,0.05,199750.50809645883
2,2,0.758169764503107,9.063957838720571e-06,5.64541926743297,0.181362708241137,0.05,199750.50809645883
2,3,0.758169764503107,9.063957838720571e-06,5.64541926743297,0.181362708241137,0.05,199750.50809645883
1,1,0.620484027492658,9.063957838720571e-06,5.64541926743297,0.8681697977213776,0.05,251565.1770076437
1,2,0.620484027492658,9.063957838720571e-06,5.64541926743297,0.8681697977213778,0.05,251565.1770076437
1,3,0.620484027492658,9.063957838720571e-06,5.64541926743297,0.8681697977213777,0.05,251565.1770076437
2,1,0.8401556033371124,9.063957838720571e-06,5.64541926743297,0.13470022809320525,0.05,251565.1770076437
2,2,0.8401556033371124,9.063957838720571e-06,5.64541926743297,0.13470022809320525,0.05,251565.1770076437
2,3,0.8401556033371124,9.063957838720571e-06,5.64541926743297,0.13470022809320525,0.05,251565.1770076437
1,1,0.6850033741318202,9.063957838720571e-06,5.64541926743297,0.6637693852646093,0.05,316820.4120528544
1,2,0.6850033741318202,9.063957838720571e-06,5.64541926743297,0.6637693852646093,0.05,316820.4120528544
1,3,0.6850033741318202,9.063957838720571e-06,5.64541926743297,0.6637693852646093,0.05,316820.4120528544
2,1,0.9324133588293233,9.063957838720571e-06,5.64541926743297,0.09764011425568703,0.05,316820.4120528544
2,2,0.9324133588293233,9.063957838720571e-06,5.64541926743297,0.09764011425568705,0.05,316820.4120528544
2,3,0.9324133588293233,9.063957838720571e-06,5.64541926743297,0.09764011425568704,0.05,316820.4120528544
1,1,0.7577519595090337,9.063957838720571e-06,5.64541926743297,0.5014021173995267,0.05,399002.65484793467
1,2,0.7577519595090337,9.063957838720571e-06,5.64541926743297,0.5014021173995268,0.05,399002.65484793467
1,3,0.7577519595090337,9.063957838720571e-06,5.64541926743297,0.5014021173995268,0.05,399002.65484793467
2,1,1.0361638425746194,9.063957838720571e-06,5.64541926743297,0.06820801293757116,0.05,399002.65484793467
2,2,1.0361638425746194,9.063957838720571e-06,5.64541926743297,0.06820801293757117,0.05,399002.65484793467
2,3,1.0361638425746194,9.063957838720571e-06,5.64541926743297,0.06820801293757117,0.05,399002.65484793467
1,1,0.8396852664075434,9.063957838720571e-06,5.64541926743297,0.37243752607749964,0.05,502502.71926652436
1,2,0.8396852664075434,9.063957838720571e-06,5.64541926743297,0.3724375260774997,0.05,502502.71926652436
1,3,0.8396852664075434,9.063957838720571e-06,5.64541926743297,0.3724375260774997,0.05,502502.71926652436
2,1,1.1527826276365016,9.063957838720571e-06,5.64541926743297,0.04483484799373912,0.05,502502.71926652436
2,2,1.1527826276365016,9.063957838720571e-06,5.64541926743297,0.04483484799373913,0.05,502502.71926652436
2,3,1.1527826276365016,9.063957838720571e-06,5.64541926743297,0.04483484799373912,0.05,502502.71926652436
1,1,0.9318842743062066,9.063957838720571e-06,5.64541926743297,0.27001167772571943,0.05,632850.3828288711
1,2,0.9318842743062066,9.063957838720571e-06,5.64541926743297,0.27001167772571955,0.05,632850.3828288711
1,3,0.9318842743062066,9.063957838720571e-06,5.64541926743297,0.2700116777257195,0.05,632850.3828288711
2,1,1.2838179186824499,9.063957838720571e-06,5.64541926743297,0.026273905807907495,0.05,632850.3828288711
2,2,1.2838179186824499,9.063957838720571e-06,5.64541926743297,0.02627390580790749,0.05,632850.3828288711
2,3,1.2838179186824499,9.063957838720571e-06,5.64541926743297,0.026273905807907495,0.05,632850.3828288711
1,1,1.0355690016944155,9.063957838720571e-06,5.64541926743297,0.18866792498584392,0.05,797009.8303771093
